iter	Passed	Remaining
469	746	841
470	747	839
471	749	838
472	751	836
473	752	835
474	754	833
475	756	832
476	757	830
477	759	829
478	761	827
479	762	826
480	764	824
481	765	822
482	767	821
483	768	819
484	770	817
485	771	816
486	773	814
487	774	812
488	776	811
489	778	809
490	779	808
491	781	806
492	782	805
493	784	803
494	785	801
495	787	800
496	789	798
497	790	796
498	791	795
499	793	793
500	794	791
501	796	789
502	797	787
503	798	786
504	800	784
505	801	782
506	803	780
507	804	779
508	806	777
509	808	776
510	809	774
511	811	773
512	812	771
513	814	769
514	815	768
515	817	766
516	818	764
517	820	763
518	821	761
519	823	759
520	824	758
521	825	756
522	827	754
523	828	752
524	830	751
525	831	749
526	833	747
527	834	746
528	836	744
529	837	742
530	839	741
531	840	739
532	842	737
533	843	736
534	844	734
535	846	732
536	847	731
537	849	729
538	851	728
539	852	726
540	854	724
541	855	722
542	856	721
543	858	719
544	859	717
545	861	716
546	862	714
547	863	712
548	865	711
549	867	709
550	869	708
551	870	706
552	872	705
553	873	703
554	875	701
555	876	700
556	878	698
557	880	697
558	881	695
559	883	694
560	884	692
561	886	690
562	887	689
563	889	687
564	890	685
565	892	684
566	893	682
567	895	681
568	897	679
569	899	678
570	900	676
571	902	675
572	903	673
573	904	671
574	906	669
575	907	668
576	909	666
577	910	665
578	912	663
579	913	661
580	915	660
581	916	658
582	918	656
583	919	654
584	920	653
585	922	651
586	923	649
587	925	648
588	926	646
589	928	645
590	929	643
591	931	641
592	932	640
593	934	638
594	935	636
595	937	635
596	938	633
597	940	631
598	941	630
599	943	628
600	944	627
601	946	625
602	948	624
603	950	622
604	951	621
605	953	619
606	955	618
607	957	617
608	959	615
609	960	614
610	962	612
611	964	611
612	965	609
613	967	608
614	969	606
615	971	605
616	972	603
617	974	602
618	976	601
619	978	599
620	980	598
621	981	596
622	983	595
623	985	593
624	986	592
625	988	590
626	989	588
627	991	587
628	993	585
629	994	584
630	996	582
631	998	581
632	999	579
633	1001	578
634	1003	576
635	1004	575
636	1006	573
637	1008	572
638	1010	570
639	1011	569
640	1013	567
641	1015	566
642	1016	564
643	1018	563
644	1020	561
645	1021	559
646	1023	558
647	1025	556
648	1026	555
649	1028	553
650	1029	552
651	1031	550
652	1032	548
653	1034	547
654	1036	545
655	1037	544
656	1039	542
657	1040	540
658	1042	539
659	1043	537
660	1045	536
661	1046	534
662	1048	532
663	1049	531
664	1051	529
665	1053	528
666	1054	526
667	1056	525
668	1058	523
669	1059	522
670	1061	520
671	1063	519
672	1065	517
673	1066	515
674	1068	514
675	1069	512
676	1071	511
677	1072	509
678	1074	507
679	1075	506
680	1077	504
681	1079	503
682	1080	501
683	1082	500
684	1084	498
685	1086	497
686	1087	495
687	1089	493
688	1090	492
689	1092	490
690	1094	489
691	1095	487
692	1097	486
693	1099	484
694	1100	482
695	1102	481
696	1103	479
697	1105	478
698	1107	476
699	1108	475
700	1110	473
701	1111	472
702	1113	470
703	1115	468
704	1116	467
705	1117	465
706	1119	463
707	1120	462
708	1122	460
709	1123	459
710	1125	457
711	1127	455
712	1128	454
713	1130	452
714	1131	451
715	1133	449
716	1135	447
717	1136	446
718	1138	444
719	1139	443
720	1141	441
721	1143	440
722	1144	438
723	1146	436
724	1147	435
725	1149	433
726	1150	432
727	1152	430
728	1153	428
729	1155	427
730	1157	425
731	1158	424
732	1160	422
733	1162	421
734	1163	419
735	1165	417
736	1166	416
737	1168	414
738	1169	413
739	1171	411
740	1173	410
741	1174	408
742	1176	406
743	1177	405
744	1179	403
745	1180	402
746	1182	400
747	1184	398
748	1186	397
749	1188	396
750	1189	394
751	1191	392
752	1192	391
753	1194	389
754	1196	388
755	1197	386
756	1199	385
757	1201	383
758	1202	381
759	1204	380
760	1205	378
761	1207	377
762	1208	375
763	1210	373
764	1211	372
765	1213	370
766	1215	369
767	1216	367
768	1218	365
769	1219	364
770	1220	362
771	1222	361
772	1223	359
773	1225	357
774	1226	356
775	1227	354
776	1229	352
777	1230	351
778	1232	349
779	1233	347
780	1234	346
781	1236	344
782	1237	343
783	1239	341
784	1240	339
785	1242	338
786	1243	336
787	1244	334
788	1246	333
789	1247	331
790	1249	330
791	1250	328
792	1252	326
793	1253	325
794	1254	323
795	1256	321
796	1257	320
797	1258	318
798	1260	317
799	1262	315
800	1263	313
801	1265	312
802	1266	310
803	1268	309
804	1269	307
805	1270	305
806	1272	304
807	1273	302
808	1275	301
809	1276	299
810	1278	297
811	1279	296
812	1281	294
813	1282	293
814	1284	291
815	1285	289
816	1287	288
817	1288	286
818	1289	285
819	1291	283
820	1293	281
821	1294	280
822	1296	278
823	1297	277
824	1299	275
825	1300	273
826	1302	272
827	1303	270
828	1305	269
829	1307	267
830	1308	266
831	1310	264
832	1311	262
833	1312	261
834	1314	259
835	1315	258
836	1317	256
837	1318	254
838	1319	253
839	1321	251
840	1322	250
841	1324	248
842	1325	246
843	1327	245
844	1328	243
845	1329	242
846	1331	240
847	1332	238
848	1334	237
849	1335	235
850	1337	234
851	1338	232
852	1340	231
853	1341	229
854	1343	227
855	1345	226
856	1346	224
857	1348	223
858	1349	221
859	1351	219
860	1352	218
861	1354	216
862	1356	215
863	1357	213
864	1359	212
865	1360	210
866	1362	208
867	1364	207
868	1365	205
869	1367	204
870	1368	202
871	1370	201
872	1372	199
873	1373	198
874	1375	196
875	1376	194
876	1378	193
877	1379	191
878	1381	190
879	1382	188
880	1384	186
881	1385	185
882	1386	183
883	1388	182
884	1389	180
885	1391	179
886	1392	177
887	1394	175
888	1395	174
889	1397	172
890	1399	171
891	1401	169
892	1402	168
893	1404	166
894	1405	164
895	1407	163
896	1408	161
897	1410	160
898	1412	158
899	1413	157
900	1415	155
901	1416	153
902	1418	152
903	1419	150
904	1421	149
905	1423	147
906	1424	146
907	1426	144
908	1428	142
909	1429	141
910	1431	139
911	1432	138
912	1434	136
913	1436	135
914	1437	133
915	1439	131
916	1440	130
917	1442	128
918	1444	127
919	1445	125
920	1447	124
921	1448	122
922	1450	121
923	1452	119
924	1454	117
925	1456	116
926	1458	114
927	1459	113
928	1461	111
929	1463	110
930	1465	108
931	1467	107
932	1468	105
933	1470	103
934	1471	102
935	1473	100
936	1474	99
937	1476	97
938	1477	95
939	1479	94
940	1480	92
941	1482	91
942	1483	89
943	1485	88
944	1487	86
945	1488	84
946	1490	83
947	1491	81
948	1493	80
949	1494	78
950	1496	77
951	1498	75
952	1499	73
953	1501	72
954	1502	70
955	1504	69
956	1506	67
957	1507	66
958	1509	64
959	1510	62
960	1512	61
961	1514	59
962	1515	58
963	1517	56
964	1518	55
965	1520	53
966	1521	51
967	1523	50
968	1525	48
969	1526	47
970	1528	45
971	1529	44
972	1531	42
973	1533	40
974	1534	39
975	1536	37
976	1538	36
977	1539	34
978	1541	33
979	1543	31
980	1544	29
981	1546	28
982	1547	26
983	1549	25
984	1550	23
985	1552	22
986	1553	20
987	1555	18
988	1556	17
989	1558	15
990	1559	14
991	1561	12
992	1563	11
993	1564	9
994	1566	7
995	1568	6
996	1570	4
997	1572	3
998	1574	1
999	1576	0
